Filename,Science_Mean,Science_Std,Reference_Mean,Reference_Std,Diff_Mean,Diff_Std,SNR,Result
SN 2018ghb.fits,nan,nan,4079.9297,1541.5121,nan,nan,0, Poor triplet
SN 2020zsp.fits,188.47641,139.05528,1538.494,692.8566,1350.0243,640.60736,7.098173, Good triplet
SN 2022zut.fits,196.02223,55.0224,2356.1357,2113.4304,2160.1145,2066.0706,7.2417607, Good triplet
SN 2019lnt.fits,189.74379,47.398067,1621.3645,807.7946,1464.1384,949.7057,0, Moderate triplet
SN 2018hnl.fits,191.76033,71.219215,2205.444,1213.5425,2013.6838,1182.6222,9.7482395, Good triplet
SN 2022zic.fits,190.89018,127.361,1594.6945,1096.5941,1404.0468,1051.4504,1.83424, Moderate triplet
SN 2025acv.fits,199.94334,244.61238,2346.916,974.29895,2130.463,761.96594,9.794329, Good triplet
SN 2021jth.fits,199.1226,89.49594,2460.9248,1916.5259,2255.8228,1861.1954,10.059833, Good triplet
SN 2018hyw.fits,192.61043,83.30235,2554.8582,762.67706,2358.7231,689.8003,12.70317, Good triplet
SN2021mld.fits,228.85849,333.58524,2628.235,2296.228,2336.3005,1945.1531,1.9335295, Moderate triplet
SN 2018bja.fits,192.74873,171.1823,2270.741,918.99695,2072.816,796.5522,9.883404, Good triplet
SN 2018gho.fits,189.40872,125.71894,2030.8234,922.0846,1841.464,883.5495,9.519637, Good triplet
SN 2018cqj.fits,193.2067,75.4523,1943.627,1260.2593,1742.1537,1150.4994,0.84652346, Moderate triplet
SN 2019hib.fits,187.92197,98.353775,1940.2788,671.709,1752.3629,637.49316,7.416203, Good triplet
SN 2018gjr.fits,193.22888,227.3366,1944.1608,951.0472,1751.3611,877.60333,5.714191, Good triplet
SN 2017gax.fits,nan,nan,4084.158,3163.7996,nan,nan,0, Poor triplet
SN 2019obh.fits,192.11528,58.737766,1726.3438,1195.767,1516.6312,1029.4272,0.7765954, Moderate triplet
SN 2022lre.fits,189.91833,41.54895,2114.4954,789.8389,1920.5671,713.60706,7.771415, Good triplet
SN 2018cem.fits,190.47021,72.18236,2353.2786,1098.5651,2138.8418,838.97656,9.753774, Good triplet
SN 2018are.fits,188.52736,34.363224,1945.7665,1116.75,1726.5923,802.1238,11.91354, Good triplet
SN 2022ewj.fits,194.92569,165.3777,2409.0476,1706.9476,2211.0166,1648.1935,7.1579, Good triplet
SN 2019bjy.fits,nan,nan,2272.6472,1758.6882,nan,nan,0, Poor triplet
SN 2020yzn.fits,nan,nan,2408.0413,1518.732,nan,nan,0, Poor triplet
SN 2023jbk.fits,188.3677,72.76837,1997.3022,635.6633,1806.1555,563.38354,9.398079, Good triplet
SN 2020hfn.fits,202.84453,151.92914,2299.788,1562.6357,2092.8562,1470.1858,1.693242, Moderate triplet
SN 2015cm.fits,190.02066,135.73558,1723.2173,748.68134,1529.3823,646.78046,8.2124195, Good triplet
SN 2020dpw.fits,203.40416,87.95171,2882.3906,1487.3352,2675.2944,1408.1869,4.72322, Moderate triplet
SN 2017avj.fits,188.40266,48.79043,2023.9546,834.0112,1828.0771,704.48303,11.102232, Good triplet
SN 2021wad.fits,189.41829,82.64285,2177.301,891.8374,1982.2589,798.7566,12.965086, Good triplet
SN 2022szg.fits,188.08417,34.622993,1576.375,734.3053,1383.4431,649.6562,7.6248813, Good triplet
SN 2019lqz.fits,189.45503,150.16359,2099.0815,504.96768,1909.7009,446.66028,10.017454, Good triplet
SN2008il.fits,nan,nan,7872.9966,3304.1497,nan,nan,0, Poor triplet
PSc380424.fits,187.8643,88.32436,1741.1912,532.6628,1553.3276,489.14218,9.567215, Good triplet
SN 2023hlf.fits,208.10455,159.09818,3009.8357,3037.2358,2801.7307,2949.5645,10.0626, Good triplet
SN 2019bjz.fits,198.45813,193.04912,2444.6826,1563.0627,2220.0146,1362.6669,7.943739, Good triplet
SN 2014ge.fits,187.41501,24.703342,1898.9412,833.2696,1711.5261,819.0356,10.007653, Good triplet
SN 2018ivc.fits,245.21895,300.0381,4665.7207,3938.9722,4409.4746,3781.8398,8.792382, Good triplet
SN 2023xbb.fits,182.83026,195.61795,3029.4045,2165.0107,2833.2534,2033.9214,1.5535321, Moderate triplet
SN 2019dyo.fits,191.32178,73.03763,1990.8898,1065.8036,1769.0901,739.6188,12.589453, Good triplet
SN 2017egm.fits,186.63702,54.93463,1944.681,753.2189,1754.9072,695.2073,12.08992, Good triplet
SN 2021iyt.fits,186.70294,59.761612,1899.5402,564.24725,1712.8379,536.7324,1.5043073, Moderate triplet
SN 2016coi.fits,192.57469,87.57035,1615.8723,816.3042,1419.0035,719.2297,2.4687674, Moderate triplet
SN 2021bbz.fits,185.42426,34.891495,2037.2023,612.8791,1851.7778,588.5016,11.352001, Good triplet
SN 2016ajm.fits,nan,nan,2532.4175,1781.9972,nan,nan,0, Poor triplet
SN 2019bsa.fits,189.90765,129.97983,2153.7468,812.4488,1963.9741,772.77576,6.946415, Good triplet
SN 2020avu.fits,190.43152,171.39659,1693.7682,761.2878,1499.2474,654.9439,7.245864, Good triplet
SN 2021nwf.fits,193.06062,127.64697,1780.7484,947.41925,1581.0309,826.11566,6.814458, Good triplet
SN 2021qve.fits,190.14195,83.76196,2209.236,1041.855,2007.919,898.8415,12.318821, Good triplet
SN 2021tiq.fits,190.47136,78.14437,2122.672,1073.481,1927.1672,991.6971,3.7194324, Moderate triplet
SDSS-II SN 10238.fits,188.39604,11.569076,1728.4077,459.65945,1540.0116,452.1614,2.8294282, Moderate triplet
SN 2020ftd.fits,194.28741,167.28786,1942.5115,1462.772,1745.0282,1389.5042,6.2837524, Good triplet
SN 2018hus.fits,187.147,29.572025,1787.5623,334.12964,1600.4149,320.47412,5.8862276, Good triplet
SN 2022gwg.fits,190.13087,69.03597,2093.4272,886.7186,1888.4574,676.41595,10.435659, Good triplet
SN 2024ablh.fits,192.64081,64.21358,2060.881,1172.6392,1868.4222,1139.8701,7.8174033, Good triplet
SN 2019wmc.fits,187.23383,82.126656,1959.8229,716.7952,1763.352,549.65735,11.161867, Good triplet
SN 2025dhv.fits,189.62526,84.03549,1964.6942,873.3177,1775.069,827.6983,8.794025, Good triplet
SN 2023epj.fits,185.87871,41.588673,1984.0848,434.40173,1798.2426,416.316,10.158902, Good triplet
SN 2020yvs.fits,187.30367,86.9484,2250.758,681.55963,2063.4536,643.6586,9.417294, Good triplet
SN 2017byz.fits,196.25859,175.27184,2363.3547,1801.9731,2161.339,1731.0878,5.57504, Good triplet
SN 2016bau.fits,207.36787,184.9344,2737.9417,1907.0555,2787.1262,2104.848,0, Moderate triplet
SN 2017jl.fits,189.35103,69.95614,1978.6626,770.0574,1785.29,690.7088,8.380539, Good triplet
SN 2022bid.fits,186.78764,36.33356,1914.8538,767.67737,1725.0892,711.78015,9.504447, Good triplet
